description,direccion,fot,irregular,medidas,esquina,barrio,frentes,pileta,urb_cerrada,posesion,urb_semicerrada,preventa,indiviso,a_demoler,es_multioferta,es_monetizable,loteo_ph
"CASA SUCRE. BELGRANO R. Casa sobre lote propio de doble frente (17.35 x 35) con balcones terraza, jardín, piscina, solárium y quincho con parrilla",,,,17.35 x 35,,,2,True,,,,,,,,True,
"Casa de doble frente de 20.903 m2 de lote. Toma departamento en parte de pago. Zona Olivos/Vicente López. La misma cuenta con un living comedor de 5 x 9.50 con pisos en cerámicos, gran cocina comedor diario refaccionada a nueva de 6.30 x 6.70 con mucha luz y vista y salida al parque, lavadero independiente, dependencia de servicio con baño, toilette con ducha. Calefacción central por radiadores. Gran parque arbolado con piscina, quincho, parrilla y entrada pasante para varios autos.",,,,6.30 x 6.70,,,2,True,,,,,,,,True,
"Excelente terreno de 50 mts de frente x 83 mts de fondo con salida a 2 calles. Superficie del terreno 4150 m2. Zonificación UR2 B. FOT 0.9 ampliable a 1.05 abonando plusvalía. FOS 0.45. Altura máxima 10.5 mts + 3 mts retirados. Densidad 350 hab x ha. Actualmente consta de casa principal, casa de huespedes, amplio quincho cubierto, piscina, amplio parque arbolado.",,FOT 0.9,,50 x 83,,,2,True,,,,,,,,True,
Espectacular casa quinta en Barrio El Rodeo en La Plata. Acceso sobre ruta 215. muy buen entorno barrio familiar semi cerrado. la propiedad esta desarrolada sobre 4 lotes de 20 x 50 cada uno. la casa esta situada sobre dos lotes es de tipo chalet en una planta y consta de gran estar comedor con vista hacia la piscina,,,,20 x 50,,Barrio El Rodeo en La Plata,,True,,,True,,,,,True,
"Excelente casa de 288 mts2 cubiertos emplazada sobre 3 terrenos con un total de 1948 mts2 ubicada en un barrio semicerrado perimetrado que se encuentra en muy linda zona de Escobar con excelente acceso y cercano al centro. La misma esta desarrollada completamente en una planta y cuenta con 4 dormitorios (uno de ellos en suite con baño y vestidor), amplio living, comedor, cocina, lavaderos y tres baños mas y un toilette. También cuenta con galeria, cochera, sector de parrilla y una mini pileta. La casa esta revestida de ladrillos a la vista con techo de teja francesas, pisos de ceramico, calefacción por losa radiante, splits frio/calor, aberturas de madera de primera calidad y riego por aspersión. El barrio cuenta con un sector de espacio comÃ°n donde hay una gran pileta de natación y una cancha de paddle.",,,,,,,,,,,True,,,,,True,
"LOTES BARRIO SEMICERRADO QUILMES EZPELETA Esquel y Uriburu Quilmes Ezpeleta Quilmes Ezpeleta, GBA Gran oportunidad de pertenecer a un barrio semicerrado a tu alcance. Loteo en inmejorable zona de Quilmes Ezpeleta. Barrio con edificación regulada por un reglamento de construcción y de convivencia. Muy buena ubicación a pocas cuadras de la estación de Ezpeleta y su centro comercial, a 150 m de la Av. Mitre en la que están disponibles varias líneas de colectivos. Muy fácil acceso a la Autopista Bs. As. La Plata, 30 minutos al centro de Buenos Aires. Junto al importante supermercado Maxi Carrefour. Construí tu propia casa con garaje, jardín, pileta y quincho. Un lugar lleno de ventajas y beneficios. Escritura y posesión inmediata.",,,,,,,,True,,,True,,,,,True,
"Te presentamos un hermoso chalet de 3 ambientes con gran parque, ubicado en La Primavera entre Zeballos y Godoy Cruz, en el barrio Las Dalias, próximo a Parque Camet. Esta propiedad posee un amplio y muy cómodo living con hogar y entrepiso con playroom con vista hacia el living. La cocina comedor se encuentra mediante barra desayunadora, cuenta con doble ventana que le otorga mucha luminosidad, mesada en L y espacio para lavarropas. Los dos dormitorios tienen amplios placares con bauleras. El baño es completo, con ducha y revestimientos cerámicos. Además, cuenta con un gran parque en el cual dispone de un quincho semicubierto, pileta y entrada pasante para autos. El chalet posee todos los servicios y se encuentra en buen estado general. Tiene paredón perimetral. El lote tiene 15 metros de frente por 26 metros de fondo, con una superficie total de 390 m2.",,,,15 x 26,,barrio Las Dalias,,True,,,,,,,,True,
"CASA 4 AMB SUITE. PILETA + DEPTO 3 AMB BELGRANO R. Amplio living comedor con salida al patio. Patio con parrilla, piscina y lavadero. Cocina. Toilette de recepción. Cochera para un auto. Hall de distribución. Amplio dormitorio con baño en suite y vista al patio. Dos dormitorios con placard y acceso a balcón al frente. Baño completo. Antiguedad: aprox 50 años. Cochera para 1 auto. Termotanque. Horno y anafe a gas. Instalación para aire acondicionado. Calefacción por estufas de tiro balanceado. Pisos, baños e instalación eléctrica reciclados hace 7 años. Parrilla. Piscina. SUPERFICIE. Cubierta: 301 m2. Frente: 8.66 m. Fondo: 43.30 m. Sup. Terreno: 374.97 m2. GASTOS: ABL: $15.248. UBICACION: Holmberg al 1600 entre Virrey del Pino y Carbajal. En el barrio de Villa Ortúzar, con proximidad a numerosos comercios y cercanía a Av. de los Incas y Av. álvarez Thomas",Holmberg al 1600 entre Virrey del Pino y Carbajal,,,8.66 x 43.30,,,,True,,,,,,,,True,
"Terreno en venta ubicada sobre calle 618 e/ 6 bis y 7. Localidad Villa Elvira al frente con orientación al Noroeste. Sobre calle de asfalto y servicios de electricidad, agua corriente, gas natural y cloacas. Regular, entre medianeras, alambrado, nivelado y con unas medidas de 10 x 35.41 mts. 354 mts2 totales. Tiene pileta de fibra",calle 618 e/ 6 bis y 7,,,10 x 35.41,,,,True,,,,,,,,True,
"Importante chalet en Barrio Parque Calchaqui. Calle 341 (Craviotto) entre 382 y 383. 6 ambientes, 4 dormitorios, 5 baños, 2 pisos, lote de 15 x 50, total 750 m2, cubierta 410 m2. Recepción, toilette, amplio living con aberturas hacia el parque, comedor principal, cocina amueblada + comedor diario, dormitorio con placard, baño completo con ante baño, dormitorio principal con pisos tarugados en suite, con baño completo, amplisimo verde, pileta, parrilla.",Calle 341 (Craviotto) entre 382 y 383,,,15 x 50,,Barrio Parque Calchaqui,,True,,,,,,,,True,
