description,direccion,fot,irregular,medidas,esquina,barrio,frentes,pileta,urb_cerrada,posesion,urb_semicerrada,preventa,indiviso,a_demoler,es_multioferta,es_monetizable,loteo_ph
"CHALET DE ESTILO. 5 AMB. 254 M2. LOTE 10 x 23 EN DOS PLANTAS. PLANTA BAJA: LIVING 6 x 4 COMEDOR 4 x 4 ( SALIDA AL JARDIN ) UN BAÑO COMPLETO UN DORMITORIO CON HOGAR EN SUITE de 3.50 x 3.50 C/ PLACARES COCINA COMEDOR 4 x 3 LAVADERO DEP. DE SERV. JARDIN 10 x 7 GARAGE DOBLE 10 x 3 PLANTA ALTA: TRES DORMITORIOS : DOS EN SUITE Y CON HOGAR. EL PRINCIPAL DE 6 x 3.50 4 x 3 y 3.50 x 3.50 TODOS CON AMPLIOS PLACARES Y CAJONERAS. CALEFACCION POR RARIADORES PISOS: ROBLE Y PORCELANATO TECHO: TEJAS CARPINTERIA Y HERRAJES DE PRIMERA CALIDAD RECICLADO HACE 15 AÑOS Servicios: Cloacas, Gas Otros Servicios: Jardín trasero",,,,10 x 23,,,,,,,,,,,,True,
"Venta de Departamento 2 AMBIENTES en Balcarce, Balcarce Tercer piso a la calle Living comedor, cocina separada, dormitorio y baño Cocina reciclada. Baño parcialmente reciclado Excelente estado de conservación Incluye el mobiliario que se ve en las fotos XINTEL(NNE NNE 508)",,,,,,,,,,,,,,,,True,
"Venta de Quinta, Balcarce XINTEL(PIE PIE 513)",,,,,,,,,,,,,,,,,
"EXCELENTE CASA EN HARAS DEL SUR II Código de Referencia: PRO16978 En Planta Baja: Cocina de 7 x 7 mts2/ Living con hogar a leña, de 6 x 7 mt2/ Toilet/ Estudio/ Habitación de huéspedes/ Baño completo con salidaa la piscina/ Lavadero independiente/ Quincho de 10 x 5.5 mts2 Primer piso: Habitación principal de 4 x 5 mts2, con vestidor de 5 x 1.70 mts2 y baño privado con jacuzzi/ Dos habitaciones de 3.5 x 3.5/ Baño completo/ Baulera o despensa INMEJORABLE UBICACIÓN De fácil y seguro acceso desde la ruta. + 4 HABITACIONES (UNA EN SUITE CON JACUZZI)/ HABITACIÓN DE HUÉSPEDES/ ESCRITORIO + DOS COCHERAS CUBIERTAS + PISCINA + QUINCHO + BAULERA Barrio muy consolidado, seguridad 24 hrs, amenities de categoría (gimnasio, spa, área deportiva con canchas de fútbol, tenis, golf, piscina in/out, solárium. Área recreativa: Club House Principal y deportivo, cuenta con espacios para toda la familia, zona de juegos para niños) Corredor Inmobiliario Interviniente: Sebastian Bessone CUCICBA 7433 CMCPDJLP 7497",,,,10 x 5.5,,Club House Principal,,True,True,,,,,,,True,
"Living comedor con ventanal y vista panorámica. Dormitorio con pisos de parquet y placard. Cocina integrada con isla. Posee horno electico, anafe de vitrocerámica, heladera con frezzer y lavarropas. Pasillo distribuidor con vestidor. Baño completo con ducha y mampara. Toilette de servicio Calefacción por radiadores. Edificio con Seguridad las 24 horas. XINTEL(GOM GOM 94)",,,,,,,,,,,,,,,,True,
"Lote UF 94 en venta en El Club de Campo El Mirador, Brandsen, a la altura del Peaje de Samboronbón Autovía 2, Km 90 UNICO CLUB DE CAMPO CON SPA PRIVADO DE PRIMER NIVEL este club de campo de aguas termales extraídas a 950 metros de profundidad y a 41ªC de alta salinidad. Su paisaje combina lomadas, quebradas y campo, junto con arboles añosos, la belleza del Rio Samborombòn. El mismo cuenta con una moderna infraestructura social, deportiva y de servicios, lo que lo convierte en una excelente opción a la hora de evaluar donde invertir. Thermal, Relax & Spa ha sido creado para brindar a sus socios un lugar donde reconfortar cuerpo y mente, y recuperar la serenidad interior con diferentes tratamientos estéticos, revitalizantes y terapéuticos. Tiene diseñado circuitos con tecnología de ultima generación. Ofrece a sus socios una piscina lúdica, la cual mediante una serie de accesorios se transforma en un verdadero circuito de hidroterapia que estimula todos los puntos de energía del cuerpo. La realización de todas las estaciones del mismo, permiten una combinación perfecta entre lo terapéutico, lo relajante y lo placentero. ammam: baño de vapor húmedo (turco). Sauna Finlandes: baño de calor seco. Cuatro duchas de sensaciones. Camino de sensaciones. Pediluvio: es un circuito relajante de pies y piernas. Tres tumbonas subacuáticas. Dos cascadas lúdicas. Un anillo de aire. Un circuito de caminata contra corriente. Piscina In out de aguas termales.Salas de masajes. Sector de relax. Amenitis: Espejos de Agua y 2300 m2 de costa sobre el Río Samborombón. Playa de Arena y Piscina de Aguas Dulces. Club House. Restaurante. Microcine. Sauna y Vestuarios. Gimnasio de Musculación. Canchas de Tenis de Polvo de Ladrillo. Paddle. Fútbol. Club House Náutico. Thermal Spa & Relax. Seguridad las 24hs. Red Subterránea de Energía Eléctrica XINTEL(GNP GNP 532)",,,,,,Club House Náutico,,True,True,,,,,,,True,
"A dos cuadras del pueblo frente al club municipal se encuentra este excelente campo de 16 hectáreas con muchísima arboleda y casa totalmente equipada , su ubicación es óptima en el pueblo , cuenta con 3 habitaciones una equipada para 4 personas , galpón para guardado , agua de pozo luz eléctrica con medidor",,,,,,,,,,,,,,,,True,
"ALQUILER LOCAL COMERCIAL Bronzini e Ituzaingó. 80.000 Pesos mensuales. Más Luz, gas y Obras sanitarias. 25 mts 2 Cuenta con baño, agua corriente. IDEAL PARA LAVANDERÍA, PELUQUERÍA O CUALQUIER RUBRO QUE REQUIERA UTILIZACIÓN DE AGUA CORRIENTE COMO LABORATORIOS, CONSULTORIOS MÉDICOS U ODONTOLÓGICOS, TALLERES DE PINTURA, ETC. ESTUDIO INMOBILIARIO MATIAS I. MACHADO REGISTRO 3868. Requisitos para ingresar: Demostrar ingresos en blanco del grupo que va alquilar y tener garantía 2 recibos o propiedad. Tener 2 garantes con recibo de sueldo o garantía propietaria /2235713702 o 2236238682/fijo 2236281167 llamado o WHATSAPP Respondemos a la brevedad GRUPO ALQUILERES 36 MESES MAR DEL PLATA PROPIEDADES.",,,,,,,,,,,,,,,,True,
"VENDEN EN BLOCK O POR SEPARADO 11 LOTES, DE ENTRE 6.900 Y 12.300 M2 Y ENTRE U$S 48.500. Y U$S 86.000. , SOBRE CALLES CIUDAD DE ROMA , DESDE TUPUNGATO HASTA RIO PINTO, GALPON Y CASA DE CASEROS PLANTADOS SOBRE DOS DE LOS LOTES SOBRE CIUDAD DE ROMA ENTRE TUPUNGATO Y RIO SUQIA, SE EVALUA OPCION DE ALQUILER DE LOS MISMOS. Aviso publicado a través de Pixel Inmobiliario (Servicios de páginas web para inmobiliarias ).",", DE ENTRE 6.900 Y 12.300",,,,,,,,,,,,,,,True,
"Este departamento en ph esta ubicado sobre vereda de sol, con acceso por escalera, al frente. El ingreso a la unidad es por el living comedorque conecta al balcon , un baño completo y 2 habitaciones. Todos los ambientes son luminosos debido a los ventanales que dispone en la propiedad. No paga expensas. Complejo tranquilo de 5 unidades en total. Propietario financia 37 mil al contado y saldo en cuotas de 300 dolares! CONSULTE POR OTROS TIPOS FINANCIACION!! Coordine su visita! Aviso publicado a través de Pixel Inmobiliario (Servicios de páginas web para inmobiliarias ).",,,,,,,,,,,,,,,,True,
